Role,Companies,Location,Experience,Skills
Principal Consultant- Data Science,D-Cube Analytics Private Limited ,"Chennai, Bengaluru",6-10 Yrs,"Tensorflow
Algorithms
Machine Learning
IT Skills
Python
Machine Learning
Cloud
AWS"
Looking For Associate Director -Data Science,Lendingkart Technologies Pvt. Ltd.,Bengaluru,5-10 Yrs,"Mortgage
Risk Modeling
Collections
Modeling"
Director Data Science (principal Scientist),Search Advisers Services ( GUJ ) Pvt. Ltd.,Bengaluru,10-20 Yrs,"Team Management
deep l&d
Data Mining
Process Improvement
Text Mining
Machine Learning
Statistics
Deep Learning"
Machine Learning Engineer - Data Modeling/ Data Science,Confidential,Pune,4-6 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Data Science
Java
R"
"Data Science Engineer, SMART MFG & AI",Micron Semiconductor Asia Pte Ltd,Hyderabad,6-10 Yrs,"Snowflake
Web Development
Image processing
Data science engineer
scikit-image
Angular
Node.js
typescript"
SE- Data Science,Bold Technology Systems Private Limited,Noida(Sector-135 Noida),3-5 Yrs,"deep learning
predictive modelling
r
python
NLP
data science
redshift
machine learning"
Manager Data Science,Reliance Jio Infocomm Ltd.,Mumbai,5-8 Yrs,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics"
Associate Professor / Professor Data Science & Information Systems,Krea University,Chittoor,2-6 Yrs,"Computer science
data science
Data management
Associate Professor
Machine learning
Programming
Research
data visualization"
Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,3-5 Yrs,"IT Skills
Data Science
Machine Learning
Project Management
BPO
project management
Publishing
Data management"
Manager Data Science,Reliance Jio Infocomm Ltd.,Mumbai,5-10 Yrs,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics"
Hiring Data Science Team For MNC's,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,"Chennai, Bengaluru, Hyderabad",0-3 Yrs,"python
C++
java"
Senior Data Science Engineer,GAINSIGHT INC.,Hyderabad,3-6 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
Product engineering
Coding
Consulting"
Head of Data Science - Machine Learning - R/ Python/ Tensorflow,Beiing.in,Bengaluru,10-14 Yrs,"IT Skills
Python
Testing
Data Science
Machine Learning
Elastic Search
Data Science
Regression Algorithms"
Analytics Manager (Data Science)- Immediate joiner preferred from T1,BLUDGEON CONSULTANCY PRIVATE LIMITED  ,Delhi NCR,5-10 Yrs,"Java
Azure
Architecture
Scala
Hadoop
Financial Sales
J2Ee
Spring"
Consultant / Senior Consultant - Data Science,AbsolutData Research Analytics Solutions Pvt. Lt,"Pune, Gurgaon",4-8 Yrs,"Product management
Telecom
Supply chain management
Backend
Market research
Healthcare
Telecommunication
Automotive"
Data Science/Analysis Expert - Machine Learning,Catalyst,Bengaluru,2-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Tableau
Regression Algorithms
NLP
Data Scientist"
Senior Manager –Data Science Engineer (Full Stack),Bajaj Finance Limited,Pune,7-11 Yrs,"Java
Hive
Algorithms
NoSQL
Neo4J
Hadoop
MySQL
MS SQL Server"
Manager - Data Science,Merkle Inc.,Pune,3-8 Yrs,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
Marketing analytics
SAS"
Manager - Data Science,Merkle Sokrati,Pune,3-8 Yrs,"Data validation
data science
SAS
Troubleshooting
Adobe
Digital marketing
Analytics
Monitoring"
Data Science,Accenture Solutions Pvt Ltd,Mumbai,2-4 Yrs,"IT Skills
Java
Python
Data Science
Tableau
Operations research
data science
Analytical"
DATA SCIENCE ENGINEERS ,Summit Information Technologies Pvt. Ltd.c,Gurgaon,2-9 Yrs,"IT Skills
Python
Data Science
data science
Analytics
Python"
Data Science and Artificial Intelligence unpaid Internship,Aerofolic Business Solution ,Bengaluru,0-1 Yrs,"NLP
Natural Language Processing
Text Mining
Machine Learning
Python"
Assistant/ Associate Professor (Data Science/Artificial Intelligence),"LNCT Raisen, Bhopal",Bhopal,3-8 Yrs,"Data Science
Artificial Intelligence"
Sr Data Science Manager,HERE Technologies,"Mumbai, Mumbai City",10-18 Yrs,"IT Skills
Machine Learning
Big Data
AWS
Tableau
Data Scientist
AI
Machine Learning"
Manager Data Science,Reliance Jio Infocomm Ltd.,Hyderabad,5-7 Yrs,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics"
Chief Intelligence Officer - Data Science & Analytics,Talpro,"Delhi/NCR Delhi NCR, Delhi, Mumbai, Bengaluru, Gurgaon Gurugram",8-12 Yrs,"machine learning
forecasting
SAS
decision trees
Data Management
Data Science
survival modeling
Statistics"
Chief Intelligence Officer - Data Science & Analytics,Talpro,"Delhi NCR, Mumbai, Bengaluru, Gurgaon",8-12 Yrs,"SAS
Data Management
Statistics
Analytics"
Data Science Product Manager,Catalyst,Bengaluru,4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science Product Manager
R"
Data Science Professional,Bion,Bengaluru,3-5 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Cloud
Oracle
Big Data"
Data Science Product Manager,Bion,Bengaluru,4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science Product Manager
Tensorflow / Keras libraries"
Data Science / Machine Learning stream project intern,Vikatan,Chennai,0-1 Yrs,"Computer science
Printing
Power house
Publishing
data science
Machine learning
Manager Technology
digital transformation"
Head - Data Science & Artificial Intelligence,MarketScope,Hyderabad,13-19 Yrs,"IT Skills
Data Science
Artificial Intelligence
Data Science
IT Head
Data Scientist
Artificial Intelligence
Data Science head"
Business Engagement Lead - Digital Transformation (Data Science),PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED  ,Hyderabad,8-12 Yrs,"Data Science
Digital Transformation
analytics
Stakeholder Management"
Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata",0-5 Yrs,"STATA
SPSS
Econometrics
Big Data Analytics
Eviews
Research
Statistics
Data Science"
Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft,Bengaluru,5-8 Yrs,"IT Skills
Java
Python
Cloud
Project Management
Product Management
Azure
BPO"
"Computer Science Faculty For B.Tech (AI, ML, IoT, Data Science)",Vision Group of Institutions,"Aligarh, Kanpur",0-5 Yrs,"Java
software
Artificial Intelligence
Programming
topper
Machine Learning
computer sciene & engineering
IOT"
Senior Software Developer - Nlp/machine Learning/data Science,Cunesoft,Bengaluru,5-8 Yrs,"IT Skills
Java
Python
Cloud
Project Management
Product Management
Azure
BPO"
