Role,Companies,Location,Experience,Skills
Senior Manager Data Science,ExecBoardinAsia,Chennai,5-10 Yrs,"Loop
Career development
Data analysis
data science
Analytical
Machine learning
Research
Operations"
Explore Job Opening on Data Science,ICR INDIA CERTIFICATIONS PRIVATE LIMITED ,"Chennai, Bengaluru, Hyderabad",0-3 Yrs,"python
C++
java"
Manager - Data Science,Merkle Inc.,Pune,3-8 Yrs,"IT Skills
Python
Data Science
Tableau
Power BI
Data validation
Marketing analytics
SAS"
Data Science  /  Machine Learning,Connect Infosoft Technologies Pvt.Ltd,Faridabad,7-12 Yrs,"Mining
data science
Coding
Time series analysis
Analytical
Artificial Intelligence
Consulting
Machine learning"
Data Science Machine Learning Engineering manager,CareerXperts Consulting,Not specified,8-13 Yrs,"assembly language
website
C
HTML
ajax
javascript
jquery
SQL"
Data Science Machine Learning Engineering manager,CareerXperts Consulting,India,8-10 Yrs,"Mining
Computer science
Object oriented design
Computer vision
data science
Consulting
Machine learning
Engineering Manager"
Lead - Data Science & Engineering/Senior Lead ,Bajaj Finserv,Pune,4-7 Yrs,"Computer science
deep learning
Statistical analysis
SAS
data science
Lead
SPSS
MATLAB"
Python Developer - ADF Data Science - Chennai,ADF Data Science Private Limited,Chennai,2-7 Yrs,"Data Science
Python"
Senior Director - Data Science - Machine & Deep Learning,Vipany Management Consulting,"Visakhapatnam, Vishakhapatnam",8-13 Yrs,"IT Skills
Python
Testing
Data Science
Machine Learning
Tableau
Data Science
Predictive Modeling"
Data Science Professionals-Bangalore/Hyderabad/Mumbai/Gurgaon,Anlage Infotech (I) Pvt. Ltd.,"Delhi NCR, Mumbai, Bengaluru, Hyderabad",1-5 Yrs,"Data Science
NLP
Natural Language Processing
Hadoop
Data Mining
Sentiment Analysis
Python
SQL"
Data Science Professionals,Anlage Infotech (I) Pvt. Ltd.,"Mumbai, Bengaluru, Hyderabad",1-5 Yrs,"Data Science
SAS
Coding
Hadoop
SQL Queries
Spark
Python
SQL"
Data Science,Capgemini,Mumbai,4-6 Yrs,"deep learning
data science
SAS
spark
Analytical
Manager Technology
Deployment
SPSS"
Data Science Requirements,Teamware Solutions,Bengaluru,4-9 Yrs,"IT Skills
Python
Machine Learning
Big Data
Computer science
Text mining
PDF
Web analytics"
Senior Data Scientist - MINT Sciences,Walmart Labs,Bengaluru,2-7 Yrs,"Unix
Data analysis
Linux
data science
Resource allocation
Machine learning
Open source
Testing"
Director of Data Science,TASKUS INDIA PRIVATE LIMITED ,Indore,14-18 Yrs,"business insights
Analytics"
"Manager, Data Science",AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,10-13 Yrs,"Random Forest
Time Series
Python
IT Skills
Python
Data Science
Cloud
AWS"
Director Data Science,ExecBoardinAsia,Bengaluru,11-15 Yrs,"advanced analytics
Automation
Prototype
data science
Analytical
Deployment
Data quality
Data analytics"
Data science SSE - Omega Healthcare | Bangalore.,Omega Healthcare Management Services Pvt. Ltd.,Bengaluru,5-9 Yrs,"Data Science
Management Services
Healthcare Management"
Data Science Beginners,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,12-15 Yrs,"Logistic regression
PMP
data science
Bloomberg
Machine learning
data visualization
Risk management
Analytics"
Deputy Manager-quant Developer- Quant+ Data Science (5-10 Years),Crescendo global services,"Mumbai, Bengaluru",5-10 Yrs,"Data Science
Financial Analysis
Classification
Neural Networks
Quantitative Finance
Fixed Income
Investment Management
Python"
Country Manager - Data Science,Gladwin Analytics,"Mumbai, Bengaluru",8-13 Yrs,"Product launch
Computer science
SAP
data science
Diagnostics
Coding
Analytical
Machine learning"
Senior Manager - Data Science,Gladwin Analytics,"Mumbai, Bengaluru",11-16 Yrs,"Product launch
Computer science
SAP
data science
Diagnostics
Coding
Analytical
Machine learning"
"Senior Manager, Data Science",ExecBoardinAsia,Bengaluru,5-10 Yrs,"Operations research
Business consulting
Primary research
data science
Analytical
Demand forecasting
Machine learning
Product design"
"Manager, Data Science",ExecBoardinAsia,Bengaluru,11-15 Yrs,"deep learning
Statistical analysis
data science
Machine learning
Cloud
Cosmos
big data
Analytics"
Sr. Software Engineer-Data Science / Engineering,Ivanti,Bengaluru,5-8 Yrs,"IT Skills
Python
Computer science
data science
Analytical
Machine learning
Cloud
Agile"
VP / Sr. VP Data Science,Lendingkart Technologies Pvt. Ltd.,Bengaluru,14-20 Yrs,"Data Science
Business Intelligence
R
Big Data
Tableau
Machine Learning
Statistics
Analytics"
Assistant Manager Data Science,UpGrad,"Mumbai, Bengaluru",3-5 Yrs,"NLP
Python
SQL
Machine Learning"
Data Science Engineer,INTELLIPREDIKT TECHNOLOGIES PRIVATE LIMITED,Bengaluru,1-5 Yrs,"Printing
data science
Machine learning
Data analytics
data visualization"
Data Science Engineer,Bloom Consulting Services,Bengaluru,2-5 Yrs,"Statistical programming
data science
Machine learning
SCALA
Open source
Data mining
Ruby
MATLAB"
Data Science Engineer,Varite,Bengaluru,3-8 Yrs,"IT Skills
Python
Testing
Data Science
Oracle
MS SQL
Tableau
Power BI"
Data Science,AdmyBrand,Bengaluru,1-5 Yrs,"Printing
data science
Machine learning
Data collection
Radio
Data mining
Advertising
Analytics"
Data Science Consultant,Hewlett Packard Enterprise,Bengaluru,4-12 Yrs,"Computer science
Business process
Career development
Machine learning
Informatica
SPSS
QlikView
Unix shell scripting"
Assistant Manager - Data Science,Gladwin Analytics,"Mumbai, Bengaluru",4-9 Yrs,"Logistic regression
Statistical analysis
data science
SAS
Analytical
Machine learning
FMCG
Business intelligence"
Team Lead -data Science| Omega Healthcare | Bangalore| Video Interview,Omega Healthcare Management Services Pvt. Ltd.,Bengaluru(Wind Tunnel Road),7-12 Yrs,"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Azure
Data Science"
Data Science Technical Lead,ExecBoardinAsia,Bengaluru,11-15 Yrs,"Front end
data science
Machine learning
Technical Lead
data visualization
Python"
Team Lead / Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Big Data
Automation
Big Data Analytics
Artificial Intelligence"
Data Science,AdmyBrand,Bengaluru,1-5 Yrs,"Printing
data science
Machine learning
Data collection
Radio
Data mining
Advertising
Analytics"
Data Science Consultant,Hewlett Packard Enterprise,Bengaluru,4-12 Yrs,"Computer science
Business process
Career development
Machine learning
Informatica
SPSS
QlikView
Unix shell scripting"
Team Lead -data Science| Omega Healthcare | Bangalore| Video Interview,Omega Healthcare Management Services Pvt. Ltd.,Bengaluru(Wind Tunnel Road),7-12 Yrs,"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Azure
Data Science"
Data Science Technical Lead,ExecBoardinAsia,Bengaluru,11-15 Yrs,"Front end
data science
Machine learning
Technical Lead
data visualization
Python"
Team Lead / Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Big Data
Automation
Big Data Analytics
Artificial Intelligence"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Big Data
Publishing
Statistical analysis
Architecture
data science"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Big Data
Automation
Publishing
Data management"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Big Data
Tableau
Publishing
Architecture
data science"
Team Lead/Consultant - Data Science,Accenture Solutions Pvt Ltd,Bengaluru,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Project Management
BPO
project management
Data Science
Publishing"
Principal Consultant  -  Data Science,D Cube Analytics,Bengaluru,10-12 Yrs,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
Data analytics"
Data Science (ETO - Engineering),Global Talent Pool,"Mumbai, Bengaluru",3-5 Yrs,"Computer science
data science
Analytical
Programming
Data structures
Mathematics
Statistics
Python"
Associate Data Science Consultant,AXA Business Services Pvt Ltd,Bengaluru,3-5 Yrs,"Text mining
PDF
data science
Network analysis
Machine learning
Mining operations
Data mining
Operations"
Data Science Engineer,AXA Business Services Pvt Ltd,Bengaluru,3-5 Yrs,"Hadoop Administration
GIT
Linux
data science
Coding
Machine learning
Monitoring
Python"
Data Science,The Silicon Partners,"Pune, Hyderabad",2-7 Yrs,"Computer science
Analytical skills
SAS
Staffing
RDBMS
Analytical
Machine learning
Data analytics"
Data Sciences - Partner,TheMathcompany,Bengaluru,6-10 Yrs,"Sales
SAS
Machine learning
HTTP
SPSS
Management
Analytics
Python"
Data Sciences - Associate,TheMathcompany,Bengaluru,2-5 Yrs,"SAS
Machine learning
Packaging
HTTP
SPSS
Analytics
Python"
Data Science Lead,DUNZO DIGITAL,Bengaluru,6-12 Yrs,"Product management
Cloud computing
Backend
SAS
Neural networks
Perl
Sanitary
Python"
Data Science - Principal Software Engineer,ExecBoardinAsia,Bengaluru,11-15 Yrs,"Networking
data science
Machine learning
Application security
Research
Principal"
Data Science Manager,RGF Professional Recruitment India,Bengaluru,12-16 Yrs,"Cloud computing
Business objects
MS SQL
jQuery
data science
Project management
Consulting
Agile"
Data Science Lead,D Cube Analytics,Bengaluru,10-12 Yrs,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
Data analytics"
Data Science Manager,RGF Professional Recruitment India,Bengaluru,12-16 Yrs,"Cloud computing
Business objects
MS SQL
jQuery
data science
Project management
Consulting
Agile"
Data Science Lead,D Cube Analytics,Bengaluru,10-12 Yrs,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
Data analytics"
Data Science Quality Asssessment Engineer,Eagleview ,Bengaluru,3-6 Yrs,"Computer vision
Web technologies
data science
Machine learning
Open source"
Head of Data Science,GO-JEK,Bengaluru,8-12 Yrs,"Computer science
data science
Strategic partnerships
Analytical
Formulation
Machine learning
Business case
Logistics"
Sr Manager - III-Data Science,Citius IT Solutions Pvt Ltd,"Mumbai, Bengaluru",7-10 Yrs,"advanced analytics
data science
Customer satisfaction
Technical leadership
Manager Technology
Research
US healthcare
Investment"
"Manager, Business Analytics and Data Sciences",ExecBoardinAsia,Bengaluru,5-10 Yrs,"Mining
Business transformation
Data modeling
Customer satisfaction
Business analytics
Predictive modeling
Data analytics
Customer experience"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Mumbai,7-11 Yrs,"IT Skills
Python
Data Science
Machine Learning
Publishing
Architecture
data science
management"
Senior Data Science & Analytics Platform Engineer,GSK and Company,Bengaluru,3-7 Yrs,"Procurement
Coding
Pharma
Analytical
Healthcare
Technical architecture
Engineering Design
Analytics"
Analytics & Data Science,KPRO SOLUTIONS,Bengaluru,9-14 Yrs,"Publishing
Web technologies
SAS
data science
SPSS
Web content
Analytics
SQL"
Data Sciences - Senior Associate,TheMathcompany,Bengaluru,3-6 Yrs,"Manager Technology
Packaging
Analytics"
"Data Science, Ai,r,python,testing Automation,iot Part time Faculty",Clinnovo Research Labs Private Limited.,Hyderabad,3-8 Yrs,"IT Skills
Python
Testing
Data Science
Data Science
Datascience
R
Algorithms"
Hiring For BIG 4 - Data Science,WSNE Consulting Pvt Ltd,Gurgaon,2-6 Yrs,"IT Skills
Java
Python
Software Development
Machine Learning
Data Science
Quantitative Analysis
Java"
Data Science Product Manager - Artificial Intelligence,Catalyst,Bengaluru,4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Data Science
Tensorflow"
Machine Learning Engineer - Data Modeling/Data Science,Okda Solutions,Pune,4-6 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Data Science
Java
R"
Junior-Mid-Senior Data science,POPxo,"Delhi, Mumbai",1-3 Yrs,"Statistical analysis
data science
Machine learning
Data collection
Programming
Data mining
MATLAB
SQL"
Assistant Manager - Data Science,Vreedhi Financial Services,"Hyderabad, telangana",2-4 Yrs,"data science
Bfsi
Machine learning
MySQL
Data collection
Programming
Data quality
QlikView"
Data Science Course Mentor,Springboard,Remote,1-4 Yrs,"SAN
Health insurance
data science
Consulting
Programming
Mentor
Budgeting
Statistics"
Data Science Lead Engineer,SYSTEM SOFT TECHNOLOGIES INDIA PRIVATE LIMITED ,Hyderabad,5-10 Yrs,"IT Skills
Java
Python
Testing
Data Science
Machine Learning
Big Data
Java"
Data Science Manager,CareerXperts Consulting,Hyderabad,9-14 Yrs,"deep learning
Team management
data science
Consulting
Machine learning
Programming
Natural language processing
Econometrics"
Senior Software Engineer - Data Science,TNS holdings,Hyderabad,7-10 Yrs,"Computer science
Career development
Script writing
Machine learning
Agile
MongoDB
Natural language processing
Medical insurance"
Manager - Data Science,Meritus Intelytics Private Limited,Hyderabad,3-5 Yrs,"Computer science
advanced analytics
data science
Neural networks
Analytical
Machine learning
Algorithm development
Research"
Data Science - Python - SQL,Diverse Lynx,Hyderabad,2-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
Computer science
Machine learning
Network security"
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,5-8 Yrs,"IT Skills
Data Science
Machine Learning
Project Management
BPO
project management
Analyst
Publishing"
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,5-8 Yrs,"IT Skills
Data Science
Machine Learning
Analyst
Publishing
Statistical analysis
Architecture
data science"
Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,3-5 Yrs,"IT Skills
Data Science
Machine Learning
Analyst
Publishing
Statistical analysis
Architecture
data science"
Data Science,Web Synergies (India) Pvt. Ltd,Hyderabad,2-7 Yrs,"algorithms
development
SAS
analytical
mobile
Business intelligence
Data mining
microsoft"
Data Science Python / R Lead,Larsen & Toubro Infotech Limited,india,6-10 Yrs,"IT Skills
Python
Power BI
data science
Analytical
Debugging
Defect prevention
Agile"
Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,3-5 Yrs,"IT Skills
Python
Data Science
Analyst
Publishing
Architecture
data science
Consulting"
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Mumbai,5-8 Yrs,"IT Skills
Python
Data Science
Analyst
Publishing
Architecture
data science
Consulting"
Senior Analyst ? Data Science and Artificial Intelligence,Samatrix Consulting Private Limited,Gurgaon,6-11 Yrs,"advanced analytics
deep learning
Analyst
neo4j
SAS
Artificial Intelligence
Predictive modeling
big data"
Manager - Data Science - Deep Learning - BFSI,Change Leaders,Bengaluru,6-11 Yrs,"Data Science
Logistic regression
NLP
Factor Analysis
CHAID
OLS
Cluster
Data Analytics"
Associate Director - Data Science & AI Engineering,ExecBoardinAsia,Pune,5-10 Yrs,"deep learning
NoSQL
Simulation
data science
RDBMS
Machine learning
Predictive modeling
Associate Director"
Data Science - Lead,Yash Technologies Pvt ltd,Pune,7-12 Yrs,"IT Skills
Java
Python
Cloud
Big Data
Tableau
Power BI
Azure"
Associate Architect - Data Science,ExecBoardinAsia,Pune,5-10 Yrs,"Cloud computing
data science
Analytical
Infrastructure
Database
Mentor
Associate Architect
text analytics"
"Manager , Data Science",Aera Technology,Pune,5-10 Yrs,"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Supply chain
Computer science"
Data Science engineer,Bajaj Finance Limited,Pune,7-10 Yrs,Data Science
Data Science Developer,AJIRA AI,Pune,2-5 Yrs,"Logistic regression
PDF
Coding
Artificial Intelligence
Debugging
linear regression
data visualization
Licensing"
Openings For Career Counsellor For Education sector - Data Science,Aspire Consultancy Services  ,"Navi Mumbai, Thane",1-6 Yrs,"Data Science
Bde
Sales
Outbound Sales
Telesales
Telecalling
Cold Calling
Inside Sales"
Data Science Lead,ExecBoardinAsia,Noida,5-10 Yrs,"Statistical modeling
data science
Neural networks
Machine learning
Consulting
E-commerce
Mentor
Research"
Data Science Expert,UpGrad,Mumbai,2-5 Yrs,"Data scientist
data analytics certification
data science certification
Logistic Regression
Artificial Intelligence
machine learning certification
Digital Marketing
Machine Learning"
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,Bengaluru,5-8 Yrs,"IT Skills
Data Science
Machine Learning
Publishing
Statistical analysis
Architecture
data science
Senior Analyst"
Data Science Evangelist,Analytics Vidhya Educon Pvt. Ltd,Gurgaon,2-5 Yrs,"Usage
data science
Machine learning
SAS R
Author
Predictive modeling
MATLAB
Analytics"
Data Science Analytics,Diverse Infotech Pvt. Ltd.,Gurgaon,2-7 Yrs,"data science
Analytics"
Data Science Trainer,Emerging India Group,"Delhi, Noida",2-3 Yrs,"IT Skills
Java
Python
Data Science
Machine Learning
Big Data
Tableau
Computer science"
Chief Data Science officer ,Red Lotus,Mumbai,15-18 Yrs,"Computer science
data science
Master data management
Business analytics
Analytical
Project management
Machine learning
data governance"
Transformation and Data Science Specialist,MSCI Inc.,"Mumbai, Mumbai",6-11 Yrs,"Data Science
Transformation
Python"
Chief Data Science officer,RedLotus,Mumbai,15-18 Yrs,"Computer science
French
data science
Master data management
Business analytics
Analytical
Project management
Machine learning"
Sr . Consultant - Data Engineering & Data Science,Acrotrend,Remote,6-8 Yrs,"IT Skills
Java
Python
Software Development
Tableau
Salesforce
Azure
remote"
Senior Manager - Data Science - Sales & Marketing Analytics,Gladwin Analytics,Mumbai,10-15 Yrs,"Computer science
Operations research
Sales
data science
Coding
Analytical
Machine learning
Agile"
Senior Manager - Data Science,Gladwin Analytics,Mumbai,5-10 Yrs,"Computer science
Electrical engineering
Analytical skills
Statistical modeling
data science
Time series analysis
Machine learning
Analytics Executive"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Mumbai,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Project Management
BPO
project management
Publishing"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Mumbai,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Big Data
Publishing
Statistical analysis
Architecture
data science"
Data Science Engineer,Mystro,Mumbai,2-4 Yrs,"deep learning
data science
Machine learning
Manager Technology
Data processing
Python"
"Associate Manager  - Data Science, Technology",RateGain Travel technologies Pvt. Ltd.,Noida,5-8 Yrs,"NLP
Deep Learning
Python
IT Skills
Python
Data Science
Cloud
Product Management"
"Data Science Lead Python, AI/ML",MNF MyNextFilm,Delhi,6-9 Yrs,"Computer science
deep learning
Operations research
Process orientation
data science
Analytical
Machine learning
Hypothesis Testing"
Software Engineer - Data Science,Indix,Chennai,2-5 Yrs,"Computer science
Data modeling
Analytical
Machine learning
Programming
Information retrieval
data visualization
Data mining"
Director of Data Science,WRS Info India Pvt. Ltd.,"Lucknow, Noida",5-10 Yrs,"Loans
Email
data science
SAS
Analytical
Director
Tools
Business intelligence"
Data Science Developer,Iphygenia Solution,Lucknow,1-5 Yrs,data science
Data Science Expert,Tech Pathway,Jaipur,5-10 Yrs,"IT Skills
Java
Software Development
Data Science
Machine Learning
HTML
CSS
Javascript"
Python and DAta SCIENCE Developer,A2IT,Mohali,1-3 Yrs,"Web technologies
data science
Coding
Cloud
Python"
Software Engineer - Data Science,Indix,Chennai,2-5 Yrs,"Computer science
Data modeling
Analytical
Machine learning
Programming
Information retrieval
data visualization
Data mining"
Director of Data Science,WRS Info India Pvt. Ltd.,"Lucknow, Noida",5-10 Yrs,"Loans
Email
data science
SAS
Analytical
Director
Tools
Business intelligence"
Data Science Developer,Iphygenia Solution,Lucknow,1-5 Yrs,data science
Data Science Expert,Tech Pathway,Jaipur,5-10 Yrs,"IT Skills
Java
Software Development
Data Science
Machine Learning
HTML
CSS
Javascript"
Python and DAta SCIENCE Developer,A2IT,Mohali,1-3 Yrs,"Web technologies
data science
Coding
Cloud
Python"
Data Science and Analytics,V V College of Engineering,Tirunelveli,1-5 Yrs,"RF
data science
Networking
Wireless networking
Analytics"
Data Science Associate,Advisable,Remote,1-5 Yrs,"remote
Customer acquisition
SAP
data science
Project management
Network analysis
Consultancy
Management"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Mumbai,7-11 Yrs,"IT Skills
Python
Data Science
customer analytics
Publishing
Statistical analysis
Architecture
data science"
Data Science Engineer,Quantta Analytics Pvt Ltd.,Kolkata,5-8 Yrs,"Data Science Engineer
data science"
Data Science Interns,SiCureMi Healthcare Technologies,Delhi,3-4 Yrs,"data science
Intern
Internship
Project execution"
Trainer For Data Science,Reachmentor,Hosur,2-5 Yrs,"tableau
Team management
data science
Analytical
MySQL
User experience design
Python"
Principal Engineer - Data Science,Rebel Foods,Mumbai,3-7 Yrs,"data science
Principal"
Trainer Data Science,Indian Institute of Digital Education,Mumbai,2-5 Yrs,"Training
GIT
data science
Coding
Public speaking
AWS
Supervision
Python"
Data Science & Analytics,RailYatri.in,Noida,1-5 Yrs,"Product management
Training
Business development operations
Ticketing
data science
Manager Technology
Predictive modeling
Marketing communication"
FULL STACK DATA SCIENCE ARCHITECT,Aitouch,Gurgaon,4-9 Yrs,"Computer vision
NoSQL
cassandra
Artificial Intelligence
Machine learning
Intellectual property
SCALA
Agile"
SVP - Data Science,Dream11 Inc,Mumbai,5-15 Yrs,"Computer vision
nginx
cassandra
MySQL
Machine learning
MongoDB
Open source
RPM"
Data Scientist - Data Science Team - Insurance Domain,Huquo Consulting Pvt. Ltd,Gurgaon Gurugram,8-13 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Data Modeling
Data Analytics
Machine Learning
Statistics"
Senior Data Scientist - Advanced Analytics/data Science,Fidelity IT Jobs,Gurgaon,7-12 Yrs,"Data Science
Data Scientist
Data Management
Web Analytics
Data Modeling
Data Analytics
Statistics
Machine Learning"
Associate Director - Data Science,AVE-Promagne ,Chennai,8-13 Yrs,"analytics
data science
Data Analytics
machine learning
artificial intelligence"
Data Science Analyst,PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED ,Hyderabad,4-7 Yrs,Data Science
Data Science Analyst,PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED ,Hyderabad,4-7 Yrs,Data Science
Data Science Manager,Bigshyft Hiring for Upgrad,Mumbai,3-6 Yrs,"Machine Learning ML
Natural Language Processing NLP
Python
SQL"
Data Scientist-  Bio-Technology/Life Science Projects/chemometrics,Biosense Technologies Pvt Ltd,Thane,3-5 Yrs,"Multivariate Analysis
Spectroscopy
Time Series Analysis
Statistical Modeling
Raman
Data Modeling
Principal Component Analysis
Python"
Associate Manager - Internal Audit - Data Science/big Data/rpa,Serving Skill,Bengaluru,8-10 Yrs,"IT Skills
Python
Data Science
Big Data
Tableau
Power BI
SAP
RPA"
Data Engineer/data Science Consultant,Career Infosystem,Bengaluru,4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Cloud
Tableau
Power BI
Azure"
Senior Consultant Data Science + MLOps,Truetech Solutions Private Limited,"Delhi, Mumbai, Bengaluru",6-10 Yrs,"IT Skills
Python
Data Science
Cloud
DevOps
Big Data
AWS
Azure"
Data Science Product Manager,Talent Connect,"Bengaluru, KA",4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Machine Learning
Deep Learning and Artificial Intelligence"
Lead - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-8 Yrs,"Data Science
Predictive Modeling
Artificial Intelligence
Data Management
Statistical Modeling
Machine Learning
Analytics
SQL"
Data Engineer/ Data Science Consultant - Business Intelligence Tools,Career Infosystem,Bengaluru,4-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Cloud
Tableau
Power BI
Azure"
Global Head - Advanced Analytics/Data Science/Data Engineering - FMCG,Rinalytics Advisors,"Mumbai, Bengaluru",15-20 Yrs,"Data Science
AWS analytics
Artificial Intelligence
Data Architect
Data Management
Big Data
big data technologies
Data Visualization"
Consultant - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-7 Yrs,"Data Science
Clustering
SAS
Linear Regression
Time Series Forecasting
Data Analytics
Logistic Regression
Statistics"
Consultant - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,4-7 Yrs,"Data Science
SAS
Consulting - Telecom
Data Analytics
Statistics
Analytics
SQL
Consulting - Retail"
Associate Director - Data Science,ExecBoardinAsia,Bengaluru,11-15 Yrs,"advanced analytics
Data management
data science
big data analytics
Machine learning
Competency development
HR policies
E-commerce"
Assistant Professor (Grade II) - Data Science (Level-10),Indian Institute of Science Education and Research,Pune,,
Head Data Science,Waterleaf Consultants Pvt. Ltd. ,"Delhi NCR, Hyderabad",10-18 Yrs,"Data Science
Statistical Modeling
Machine Learning
IT Skills
Python
Data Science
Big Data
AWS"
Data Science Engineer - Python/rdbms,Okda Solutions,Hyderabad,5-10 Yrs,"IT Skills
Python
Software Development
HTML
CSS
Javascript
Data Science
Visualization"
Data Science Intern,CourseBricks,Trichy,0-1 Yrs,"Data Science
Natural Language Processing
Computer Vision
Machine Learning
Deep Learning
Python"
Hexnbit Trainer - Data Science,Tevatron Technologies Pvt. Ltd.,Delhi NCR,0-2 Yrs,"electronics
embedded systems
Software Programmer
Sensors
Internet of Things
MCU"
Looking For data science 0-1  internship/ experience,BRAINS N SKILLS  ,Bengaluru,0-1 Yrs,"IT Skills
Python
Machine Learning
data science
machine learning algorithms
data wrangling"
Excellent opportunity For AI (Data Science Focus),T2 Innovations    ,Chennai,3-8 Yrs,"Data Science
Java
Algorithm Development
NLP
Artificial Intelligence
Image Processing
Natural Language Processing
AI"
Excellent opportunity For AI (Data Science Focus),T2 Innovations    ,Chennai,3-8 Yrs,"Data Science
Java
Algorithm Development
NLP
Artificial Intelligence
Image Processing
Natural Language Processing
AI"
Data Science Engineer,Bigshyft Hiring for biz2credit,Noida,2-5 Yrs,"MySQL
Natural Language Processing NLP
Machine Learning ML
Python"
Lead Data Science,Bigshyft Hiring for Worley,Mumbai,10-14 Yrs,"R
Artificial Intelligence AI
Machine Learning ML
Deep Learning
Python"
Senior Associate Director - Data Science - Insurance - IIT/IIM/NIT,Huquo Consulting Pvt. Ltd,Gurgaon Gurugram,9-14 Yrs,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
Data Science"
Sr Vice President- Analytics- Data Science Team- Insurance,Huquo Consulting Pvt. Ltd,Gurgaon,8-13 Yrs,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
Data Science"
Sr Associate Director - Data Science - Insurance - IIT/ IIM/ NIT/ XLRI,Huquo Consulting Pvt. Ltd,Gurgaon,7-12 Yrs,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
Data Science"
NLP Engineer - Data Science/Python,imdNEXT Consulting Services,Mumbai,1-2 Yrs,"IT Skills
Python
Data Science
Machine Learning
Data Science
NLP
Statistical Modeling
Statistical Analyst"
Global Head - Advanced Analytics/Data Science/Data Engineering ,Rinalytics Advisors,Mumbai,15-20 Yrs,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics"
Global Head - Advanced Analytics/Data Science/Data Engineering ,Rinalytics Advisors,Mumbai,15-20 Yrs,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics"
Global Head - Advanced Analytics/Data Science,Rinalytics Advisors,Mumbai,15-20 Yrs,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics"
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,Mumbai,7-11 Yrs,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Project Management
BPO
project management
Publishing"
Data Science Engineer,NetApp,Bengaluru,5-10 Yrs,"Text mining
NoSQL
Coding
cassandra
Time series analysis
Machine learning
application architecture
High level design"
Professor - Data Sciences,Indian Institute of Science Education and Research Kolkata,Kolkata,,
